0 40 4.67036 6.15899 0.160521
1 68 4.54811 6.30635 0.16495
2 86 4.53827 6.6013 0.16676
3 104 4.51263 6.6013 0.168361
4 128 4.44132 6.6013 0.168467
5 149 4.37599 6.87754 0.167931
6 173 4.26073 6.87754 0.169257
7 192 4.27351 7.21298 0.167839
8 208 4.25849 7.21298 0.167473
9 218 4.24995 7.21298 0.168119
10 231 4.21888 7.21298 0.168047
11 240 4.20874 7.21298 0.166383
12 259 4.20659 7.21298 0.165754
13 278 4.18065 7.21298 0.166774
14 295 4.1411 7.21298 0.167444
15 314 4.10257 7.21298 0.167364
16 328 4.09564 7.21298 0.167611
17 349 4.07221 7.21298 0.166365
18 366 4.05248 7.21298 0.165879
19 386 4.03234 7.21298 0.165645
20 405 3.9925 7.21298 0.165719
21 430 3.95364 7.21298 0.165614
22 446 3.90662 7.21298 0.166004
23 465 3.87556 7.21298 0.164615
24 482 3.8507 7.21298 0.164125
25 494 3.83285 7.21298 0.163554
26 513 3.80915 7.21298 0.16301
27 528 3.81735 7.21298 0.162697
28 541 3.80936 7.21298 0.163186
29 551 3.79875 7.21298 0.162865
30 569 3.78095 7.21298 0.162944
31 586 3.76294 7.21298 0.162768
32 598 3.75989 7.21298 0.161866
33 611 3.74525 7.21298 0.161169
34 623 3.73391 7.21298 0.161172
35 641 3.71784 7.21298 0.160576
36 653 3.71276 7.21298 0.160293
37 664 3.71126 7.21298 0.159971
38 679 3.70345 7.21298 0.160554
39 694 3.69373 7.21298 0.160297
40 710 3.68778 7.21298 0.160369
41 723 3.67996 7.21298 0.160317
42 736 3.67095 7.21298 0.160168
43 746 3.67219 7.21298 0.160088
44 757 3.66645 7.21298 0.159605
45 769 3.66041 7.21298 0.160015
46 775 3.66076 7.21298 0.159769
47 786 3.653 7.21298 0.159948
48 800 3.64626 7.21298 0.159756
49 823 3.6285 7.21298 0.160004
50 836 3.63045 7.21298 0.159852
51 847 3.6235 7.21298 0.159958
52 854 3.62269 7.21298 0.159898
53 862 3.62072 7.21298 0.159647
54 876 3.61658 7.21298 0.159732
55 892 3.60678 7.21298 0.159543
56 902 3.60278 7.21298 0.159452
57 911 3.59953 7.21298 0.159494
58 923 3.59253 7.21298 0.159308
59 937 3.58477 7.21298 0.159704
