6249    0.2 0.8 0.8 0.8 0.8 0.8  0.0572706 0.95 0.7 0.65 0 0.8 0.85 0.35 0.8 0.55 0.4 0 0.55 
12199    0.6 0.8 0.4 0.4 0.8 0.8  0.352605 0.55 0.7 0.8 0 0.6 0.4 0.65 0.4 0.2 0 0.85 0.85 
12224    0.6 0.8 0.4 0.6 0.8 0.8  0.634714 0.55 0.7 1 0 0.6 0.6 0.5 0.4 0.2 0 0.85 0.85 
12244    0.6 0.8 0.4 0.8 0.6 0.8  0.0198289 0.55 0.25 0.8 0 0.6 0.4 0.5 0.4 0.2 0 0.85 0.85 
12249    0.6 0.8 0.4 0.8 0.8 0.8  0.766067 0.55 0.7 0.8 0 0.6 0.45 0.5 0.4 0.2 0 0.85 0.85 
12349    0.6 0.8 0.6 0.6 0.8 0.8  0.450483 0.55 0.7 0.8 0 0.6 0.4 1 0.4 0.2 0 0.85 0.85 
12374    0.6 0.8 0.6 0.8 0.8 0.8  0.250248 0.55 0.7 0.8 0 0.6 0.2 0.5 0.4 0.2 0 0.85 0.85 
12499    0.6 0.8 0.8 0.8 0.8 0.8  0.0564979 0.95 0.25 0.65 0 0.8 0.65 0.35 0.65 0.55 0.4 0.45 0.55 
15074    0.8 0.8 0 0.4 0.8 0.8  0.0326705 0.95 0.9 0.65 0 0.8 0.85 0 0.65 0.55 0.4 0 0.55 
15224    0.8 0.8 0.2 0.6 0.8 0.8  0.90489 0.55 0.7 0.8 0 0.25 0.7 0.5 0.4 0.2 0 0.85 0.85 
15349    0.8 0.8 0.4 0.6 0.8 0.8  0.301539 0.55 0.7 0.8 0 0.6 0.9 0.5 0.4 0.2 0 0.85 0.85 
15474    0.8 0.8 0.6 0.6 0.8 0.8  0.44611 0.55 0.7 0.8 0 0.6 0.1 0.5 0.15 0.2 0 0.85 0.85 
15524    0.8 0.8 0.8 0 0.8 0.8  0.355036 0.95 0.25 0.65 0 0.8 0.85 0.65 0.65 0.55 0.4 0 0.55 
15549    0.8 0.8 0.8 0.2 0.8 0.8  0.0617349 0.95 0.95 0.65 0 0.8 0.85 0.35 0.65 0.55 0.4 0 0.05 
15574    0.8 0.8 0.8 0.4 0.8 0.8  0.0446022 0.95 0.65 0.65 0 0.8 0.85 0.35 0.65 0.55 0.4 0 0.55 
15599    0.8 0.8 0.8 0.6 0.8 0.8  0.377729 0.55 0.7 0.8 0 0.6 0.05 0.5 0.4 0.2 0 0.85 0.85 
15624    0.8 0.8 0.8 0.8 0.8 0.8  0.0968203 0.85 0.9 0.65 0 0.8 0.85 0.35 0.65 0.55 0.4 0 0.55 
