289    0 0.4 0.2 0.4 0.8  -0.0231229 0.575 0.25 0.375 0.05 0.45 0.175 0.825 0 0.625 0.55 0.425 0.95 1 0 0.4 0.55 0.475 0.6 0.075 0.425 0.275 0.475 0.95 
339    0 0.4 0.6 0.4 0.8  -0.00802783 0.575 0.25 0.375 0.05 0.45 0.175 0.825 0 0.625 0.55 0.425 0.95 1 0 0.4 0.55 0.475 0.6 0.075 0.425 0.5 0.475 0.95 
364    0 0.4 0.8 0.4 0.8  -0.00723173 0.575 0.25 0.375 0.05 0.45 0.175 0.825 0 0.625 0.55 0.425 0.95 1 0 0.4 0.55 0.475 0.6 0.075 0.425 0.75 0.475 0.95 
459    0 0.6 0.6 0.2 0.8  0.000974282 0.575 0.25 0.35 0.15 0.4 0.9 0.65 0 0.625 0.25 0.425 0.75 1 0 0.4 0.55 0.475 0.6 0.05 0.6 0.525 0.275 0.8 
489    0 0.6 0.8 0.4 0.8  0.00300403 0.575 0.5 0.275 0.1 0.45 0.175 0 0 0.625 0.25 0.425 0.75 1 0 0.4 0.55 0.475 0.6 0.025 0.6 0.825 0.3 0.725 
518    0 0.8 0 0.6 0.6  -0.0235584 0.575 0.25 0.375 0.05 0.45 0.175 0.825 0 0.625 0.25 0.425 0.75 1 0 0.4 0.55 0.475 0.6 0 0.7 0.075 0.55 0.675 
544    0 0.8 0.2 0.6 0.8  0.0116271 0.425 0.25 0.375 0.05 0.45 0.175 0.825 0 0.625 0.25 0.425 0.75 1 0 0.4 0.55 0.475 0.6 0.025 0.7 0.25 0.55 0.95 
639    0.2 0 0 0.4 0.8  0.0392735 0.575 0.25 0.375 0.05 0.075 1 0.95 0.375 0.175 0.25 0.425 0.75 1 0 1 0.55 0.925 0.6 0.2 0.025 0.05 0.3 1 
644    0.2 0 0 0.6 0.8  0.0383619 0.575 0.25 0.15 0.05 0.45 1 0.825 0.375 0.625 0.25 0.425 0.75 1 0 0.875 0.55 0.475 0.6 0.2 0 0.075 0.675 0.95 
649    0.2 0 0 0.8 0.8  0.0406669 0.575 0.25 0.375 0.05 0.675 1 0.65 0.375 0.175 0.25 0.425 0.75 1 0 1 0.55 0.475 0.6 0.2 0 0 0.975 1 
654    0.2 0 0.2 0 0.8  0.0396781 0.575 0.25 0.375 0.05 0.075 1 0.825 0.375 0.175 0.25 0.425 0.75 1 0 1 0.425 0.925 0.6 0.2 0.025 0.25 0 1 
659    0.2 0 0.2 0.2 0.8  0.0388792 0.575 0.25 0.375 0.05 0.075 1 0.825 0.375 0.175 0.25 0.425 0.75 1 0 1 0.55 0.925 0.6 0.2 0.025 0.1 0.275 1 
