3931    0.2 0.2 0.2 0.4 0.2 0.2  6.59566 1 0.35 0.475 0.725 0.925 0.075 0.85 0.175 0.975 0 0.525 0.35 0.825 0.35 0.075 0.05 0.15 0.225 0.825 0.8 0.75 0.1 0.55 0.475 
3932    0.2 0.2 0.2 0.4 0.2 0.4  5.02274 0.925 0.575 0.65 0.9 0.7 0.925 1 0.8 0.425 0.175 0.175 0.55 0.75 0.825 0.275 0.325 0.475 0.825 0.4 0.325 0.8 0.175 0.625 0.65 
3936    0.2 0.2 0.2 0.4 0.4 0.2  5.45935 1 0.65 0.475 0.725 0.925 0.075 0.85 0.175 0.975 0 0.525 0.35 0.825 0.35 0.075 0.05 0.15 0.225 0.825 0.8 0.75 0.1 0.55 0.475 
4056    0.2 0.2 0.4 0.4 0.2 0.2  6.06803 1 0.65 0.475 0.725 0.925 0.075 0.85 0.175 0.975 0 0.475 0.35 0.825 0.4 0.075 0.05 0.15 0.225 0.825 0.8 0.75 0.025 0.55 0.475 
4061    0.2 0.2 0.4 0.4 0.4 0.2  6.02517 1 0.35 0.175 0.725 0.925 0.075 0.85 0.175 0.975 0 0.525 0.35 0.825 0.35 0.075 0.05 0.15 0.225 0.825 0.8 0.75 0.1 0.55 0.475 
4436    0.2 0.4 0 0.4 0.4 0.2  3.59984 0.975 0.675 0.975 0 0.35 0.65 0.975 0.8 0.675 0.625 0.225 0.6 0.7 0.8 0.875 0.375 0.275 0.375 1 0.35 0.25 0.125 0.725 0.375 
4437    0.2 0.4 0 0.4 0.4 0.4  5.47828 1 0.525 0.35 0.425 0.925 0.075 0.85 0.575 0.1 0.375 0.1 0 0.675 0.65 0.975 0.825 0.35 0.225 0.225 0.8 0.75 0.325 0.55 0.65 
4457    0.2 0.4 0 0.6 0.2 0.4  5.61284 0.975 0.675 0.975 0 0.35 0.525 0.975 0.225 0.675 0.625 0.225 0.6 0.7 0.8 0.875 0.375 0.275 0.375 1 0.35 0.25 0.125 0.725 0.15 
4461    0.2 0.4 0 0.6 0.4 0.2  5.19259 0.975 0.675 0.975 0 0.35 0.5 0.975 0.8 0.675 0.625 0.225 0.6 0.7 0.8 0.875 0.375 0.275 0.375 1 0.35 0.25 0.125 0.725 0.375 
4462    0.2 0.4 0 0.6 0.4 0.4  5.70704 1 0.525 0.35 0.425 0.925 0.075 0.85 0.575 0.1 0.375 0.1 0 0.925 0.65 0.975 0.825 0.35 0.225 0.225 0.8 0.75 0.325 0.55 0.65 
4556    0.2 0.4 0.2 0.4 0.2 0.2  4.86276 1 0.65 0.475 0.725 0.925 0.075 0.85 0.175 0.975 0 0.1 0.35 0.825 0.4 0.075 0.05 0.15 0.225 0.825 0.8 0.75 0.025 0.55 0.475 
4557    0.2 0.4 0.2 0.4 0.2 0.4  5.71336 1 0.525 0.475 0.65 0.925 0.075 0.85 0.175 0.1 0.375 0.1 0 0.675 0.65 0.975 0.825 0.35 0.225 0.775 0.8 0.7 0.325 0.55 0.65 
4561    0.2 0.4 0.2 0.4 0.4 0.2  5.09131 0.925 0.575 0 0.925 0.175 0.925 1 0.625 0.55 0.825 0.175 0.55 0.425 0.4 0.15 0.325 0.475 0.825 0.4 0.325 0.3 0.475 0.625 0.65 
4566    0.2 0.4 0.2 0.4 0.6 0.2  4.75568 0.925 0.575 0 0.925 0.175 0.925 1 0.9 0.55 0.825 0.175 0.55 0.75 0.4 0.15 0.325 0.475 0.825 0.4 0.325 0.3 0.475 0.625 0.65 
