#Point[6d] mu[1d] sigma[1d] acquisition[1d]
  0 0.6 0.2 0.8 0.4 0.2 -796.887 0.99342 -796.459
  0 0.6 0.4 0.6 0.6   0 -655.637 0.995465 -655.208
  0 0.6 0.4 0.8 0.4 0.2 -722.116 0.994313 -721.688
  0 0.6 0.4 0.8 0.6   0 -414.38 0.998025 -413.951
  0 0.6 0.4 0.8 0.6 0.2 -542.489 0.996297 -542.06
  0 0.6 0.6 0.8 0.6 0.2 -413.318 0.997055 -412.888
  0 0.8 0.2 0.8 0.2 0.4 -596.849 0.996176 -596.419
  0 0.8 0.2 0.8 0.4 0.2 -495.708 0.99728 -495.279
  0 0.8 0.2 0.8 0.6 0.2 -379.193 0.998161 -378.764
  0 0.8 0.4 0.6 0.6   0 -414.776 0.998025 -414.346
  0 0.8 0.4 0.6 0.6 0.2 -542.789 0.996297 -542.36
  0 0.8 0.4 0.6 0.8   0 -269.943 0.998979 -269.513
  0 0.8 0.4 0.8 0.2 0.2 -495.842 0.99728 -495.412
  0 0.8 0.4 0.8 0.4 0.2 -452.437 0.997404 -452.007
  0 0.8 0.4 0.8 0.6   0 -269.187 0.998979 -268.758
  0 0.8 0.4 0.8 0.6 0.2 -346.475 0.997911 -346.046
  0 0.8 0.4 0.8 0.8   0 -179.331 0.999339 -178.901
  0 0.8 0.4 0.8 0.8 0.2 -227.236 0.998439 -226.806
  0 0.8 0.6 0.6 0.6   0 -318.822 0.998583 -318.392
  0 0.8 0.6 0.6 0.6 0.2 -412.633 0.997055 -412.203
  0 0.8 0.6 0.6 0.8   0 -210.451 0.999094 -210.021
  0 0.8 0.6 0.8 0.4   0 -269.511 0.998979 -269.081
  0 0.8 0.6 0.8 0.4 0.2 -346.379 0.997911 -345.949
  0 0.8 0.6 0.8 0.6   0 -210.097 0.999094 -209.667
  0 0.8 0.6 0.8 0.6 0.2 -267.655 0.997814 -267.226
  0 0.8 0.6 0.8 0.6 0.4 -289.152 0.99556 -288.723
  0 0.8 0.6 0.8 0.8 0.2 -177.265 0.997939 -176.835
0.2   0 0.2 0.2 0.2 0.2 -5617 0.684877 -5616.65
0.2   0 0.2 0.2 0.4 0.2 -4783.67 0.771187 -4783.29
0.2   0 0.2 0.4 0.4   0 -2720.19 0.925826 -2719.78
0.2   0 0.4 0.2 0.4 0.2 -4114.57 0.830775 -4114.18
0.2   0 0.4 0.4 0.2 0.2 -4111.85 0.830775 -4111.46
0.2   0 0.4 0.4 0.4 0.2 -3562.9 0.872947 -3562.5
0.2 0.2   0 0.4 0.2 0.2 -4781.09 0.771187 -4780.71
0.2 0.2   0 0.4 0.2 0.4 -5612.86 0.684882 -5612.51
0.2 0.2   0 0.4 0.4 0.2 -4110.55 0.830775 -4110.16
0.2 0.2 0.2 0.2 0.2 0.2 -6667.86 0.555614 -6667.54
0.2 0.2 0.2 0.2 0.4 0.2 -5614.13 0.684881 -5613.77
0.2 0.2 0.2 0.4 0.2   0 -3560.99 0.872973 -3560.59
0.2 0.2 0.2 0.4 0.2 0.2 -5611.83 0.684881 -5611.47
0.2 0.2 0.2 0.4 0.2 0.4 -6666.11 0.555606 -6665.79
0.2 0.2 0.2 0.4 0.4   0 -3102.14 0.903442 -3101.74
0.2 0.2 0.2 0.4 0.4 0.2 -4780.26 0.77116 -4779.88
0.2 0.2 0.2 0.4 0.4 0.4 -5611.69 0.684804 -5611.34
0.2 0.2 0.2 0.4 0.6 0.2 -3102.79 0.903363 -3102.38
0.2 0.2 0.2 0.6   0 0.2 -3104.13 0.903446 -3103.72
0.2 0.2 0.2 0.6   0 0.4 -3562.42 0.872958 -3562.02
0.2 0.2 0.2 0.6   0 0.6 -3104.56 0.903412 -3104.15
0.2 0.2 0.2 0.6 0.2   0 -2394.51 0.942476 -2394.09
0.2 0.2 0.2 0.6 0.2 0.2 -3560.09 0.872947 -3559.69
0.2 0.2 0.2 0.6 0.2 0.4 -4111.77 0.830709 -4111.38
0.2 0.2 0.2 0.6 0.2 0.6 -3560.74 0.872828 -3560.34
0.2 0.2 0.2 0.6 0.4   0 -2116.22 0.955003 -2115.8
0.2 0.2 0.2 0.6 0.4 0.2 -3102.29 0.903363 -3101.89
0.2 0.2 0.2 0.6 0.4 0.4 -3559.98 0.872758 -3559.58
0.2 0.2 0.2 0.6 0.4 0.6 -3103.23 0.903049 -3102.82
0.2 0.2 0.2 0.6 0.6 0.2 -2114.56 0.954849 -2114.14
0.2 0.2 0.2 0.8 0.4 0.6 -1670.23 0.971369 -1669.81
0.2 0.2 0.4 0.2 0.4 0.2 -4782.56 0.77116 -4782.19
0.2 0.2 0.4 0.4 0.2   0 -3103.95 0.903442 -3103.54
0.2 0.2 0.4 0.4 0.2 0.2 -4780.22 0.77116 -4779.84
0.2 0.2 0.4 0.4 0.2 0.4 -5611.54 0.684804 -5611.18
0.2 0.2 0.4 0.4 0.4   0 -2719.36 0.925792 -2718.94
0.2 0.2 0.4 0.4 0.4 0.2 -4109.62 0.830671 -4109.23
0.2 0.2 0.4 0.4 0.4 0.4 -4779.99 0.770912 -4779.61
0.2 0.2 0.4 0.4 0.6 0.4 -3102.13 0.902867 -3101.72
0.2 0.2 0.4 0.4 0.6 0.6 -2717.61 0.92478 -2717.19
0.2 0.2 0.4 0.6   0 0.4 -3104.69 0.903392 -3104.28
0.2 0.2 0.4 0.6   0 0.6 -2720.22 0.925712 -2719.81
0.2 0.2 0.4 0.6 0.2   0 -2116.57 0.955003 -2116.15
0.2 0.2 0.4 0.6 0.2 0.2 -3103.28 0.903363 -3102.87
